SUPPLIER NAME,EMS CODE,DGP ITEM,EMS ITEM,BUYER CODE,BUYER NAME,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,TTL,Life Cycle,Collabs,Project,Platform
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,6PDWY,AM3MM001225,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,542F1,AM3MM000D15,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,Y6G8T,AM3MM000V35,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,DNGXP,AM404000203,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,T1NCX,AM404000303,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,T66J8,AM3MM000122,G937,"Lin, Luye",8200,7281,8132,8166,7311,8154,9120,7101,7128,7880,1456,1107,81036,MP,1,CINNAMON BAY 16;CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,3HFWF,AM404000403,G937,"Lin, Luye",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,W8W66,AM3MM000D22,G937,"Lin, Luye",10296,6979,7404,7627,8019,8635,10971,8474,7862,9693,974,774,87708,MP,1,CINNAMON BAY 16;CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,73YF9,AM3MM000222,G937,"Lin, Luye",739,801,912,902,707,887,800,672,701,753,200,145,8219,MP,1,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,YWTXD,AM404000243,G937,"Lin, Luye",5016,4632,5181,5385,4882,5299,5830,4499,4608,4586,727,580,51225,MP,1,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,7NX0C,AM3MM000132,G937,"Lin, Luye",9576,7207,7773,8538,7408,8167,9025,6748,6803,6926,1505,1134,80810,MP,1,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,VDXGH,AM3MM000D32,G937,"Lin, Luye",2664,1558,1625,1572,1737,1985,2486,2108,1899,2465,229,172,20500,MP,1,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,RKCMR,AM404000333,G937,"Lin, Luye",10695,7110,7481,7523,8278,8738,11410,8704,7699,9691,761,632,88722,MP,1,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,Y6GRR,AM404000423,G937,"Lin, Luye",5259,4374,4634,5087,4293,5158,5564,4375,4642,5366,1403,1010,51165,MP,1,CINNAMON BAY 16 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,Y593V,AM3MN000112,G937,"Lin, Luye",4249,4116,4476,4496,3983,4393,6125,4179,4075,4615,761,649,46117,MP,1,CINNAMON BAY 17;CINNAMON BAY 17 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,352PK,AM3MN000L12,G937,"Lin, Luye",5872,5985,5748,6541,5412,5913,7365,5083,5011,4929,1001,868,59728,MP,1,CINNAMON BAY 17;CINNAMON BAY 17 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,9R96G,AM3MN000212,G937,"Lin, Luye",553,636,572,665,500,513,617,422,459,479,146,115,5677,MP,1,CINNAMON BAY 17;CINNAMON BAY 17 MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,JD5HX,AM90O000201,G838,"Zhang, Qing",12207,10199,10423,11088,9614,8115,5819,3133,1643,169,19,15,72444,MP,1,OASIS MTL CS 360 CSLW 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,RY6D7,AM90O000101,G838,"Zhang, Qing",8904,7273,7798,8419,6604,5458,3807,1896,1092,108,58,45,51462,MP,1,OASIS MTL CS 360 CSLW 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,409PT,AM3YN000424,G838,"Zhang, Qing",12262,9970,9926,10609,8997,7544,5509,3075,1602,163,44,35,69736,MP,1,OASIS 14;OASIS MTL CS 360 CSLW 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,9GVPX,AM3YN000611,G838,"Zhang, Qing",611,147,94,64,0,0,0,0,0,0,0,0,916,LTB,1,OASIS 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,F0YTY,AM3YN000511,G838,"Zhang, Qing",388,548,348,242,0,0,0,0,0,0,0,0,1526,LTB,1,OASIS 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,G200W,AM3YN000434,G838,"Zhang, Qing",590,380,584,543,600,566,318,70,50,37,0,0,3738,MP,1,OASIS 14;OASIS MTL CS 360 CSLW 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,TK89G,AM3YN000314,G838,"Zhang, Qing",9328,7766,8099,8609,6584,5428,3774,1881,1082,79,35,28,52693,MP,1,OASIS 14;OASIS MTL CS 360 CSLW 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,C7VN8,AM3YN000211,G838,"Zhang, Qing",14034,11318,11620,12312,10099,8547,6151,3235,1844,181,41,32,79414,MP,1,OASIS 14;OASIS MTL CS 360 CSLW 14,Latitude
